locality,region,property_type,subtype_property,price,type_of_sale,number_of_rooms,living_area,kitchen_fully_equiped,is_furnished,has_open_fire,has_terrace,terrace_area,has_garden,garden_surface,habitable_surface,plot_land_surface,number_of_facades,has_swimming_pool,building_state
Liege,Wallonie,HOUSE,HOUSE,149000,residential_sale,4,24,No,No,No,Yes,,No,,123,150,3,No,TO_BE_DONE_UP
Herstal Vottem,Wallonie,HOUSE,HOUSE,149000,residential_sale,2,16,No,No,No,No,,Yes,304,114,422,4,No,TO_RENOVATE
BLAASVELD,Flanders,HOUSE,HOUSE,149000,residential_sale,3,34,No,No,Yes,Yes,13,No,,116,77,2,No,TO_RENOVATE
Braine-le-Chateau,Wallonie,HOUSE,HOUSE,145000,residential_sale,2,16,No,No,No,Yes,9,No,,64,43,3,No,TO_BE_DONE_UP
Woluwe-Saint-Lambert,Brussels,APARTMENT,APARTMENT,145000,residential_sale,1,,None,No,No,Yes,7,No,,35,,,No,None
Liege,Wallonie,APARTMENT,APARTMENT,149000,residential_sale,1,67,No,No,No,No,,No,,106,,,No,JUST_RENOVATED
Antwerp,Flanders,APARTMENT,APARTMENT,142500,residential_sale,1,,None,No,Yes,Yes,6,No,,30,,,No,None
Anderlecht,Brussels,APARTMENT,APARTMENT,144720,residential_sale,1,,None,No,No,No,,No,,63,,,No,None
Ronse,Flanders,HOUSE,HOUSE,139000,residential_sale,3,20,No,No,No,No,,Yes,230,145,300,2,No,TO_BE_DONE_UP
Liege,Wallonie,APARTMENT,APARTMENT,139000,residential_sale,1,,None,No,No,No,,No,,60,,,No,None
Liege,Wallonie,HOUSE,HOUSE,139000,residential_sale,4,48,No,No,No,Yes,65,Yes,199,164,317,3,No,TO_RENOVATE
GLONS,Wallonie,APARTMENT,APARTMENT,138000,residential_sale,2,,None,No,Yes,Yes,2,No,,72,,,No,None
Schaerbeek,Brussels,APARTMENT,APARTMENT,137500,residential_sale,1,,None,No,Yes,No,,No,,30,,,No,None
Seraing,Wallonie,HOUSE,HOUSE,135000,residential_sale,2,28,No,No,No,Yes,17,Yes,40,87,120,2,No,TO_BE_DONE_UP
Schaerbeek,Brussels,APARTMENT,APARTMENT,137500,residential_sale,1,,None,No,Yes,Yes,2,No,,28,,,No,None
Knokke-Heist,Flanders,APARTMENT,APARTMENT,399000,residential_sale,1,,None,Yes,No,Yes,,Yes,,60,,,No,None
Blankenberge,Flanders,APARTMENT,APARTMENT,125000,residential_sale,1,,None,Yes,No,Yes,3,No,,43,,,No,None
Turnhout,Flanders,HOUSE,HOUSE,219000,residential_sale,2,,None,No,Yes,Yes,,No,,178,,,No,None
Liege,Wallonie,APARTMENT,APARTMENT,129000,residential_sale,1,24,No,No,No,No,,No,,59,,2,No,GOOD
Nazareth,Flanders,APARTMENT,APARTMENT,366000,residential_sale,2,25,Yes,No,No,Yes,13,No,,82,,2,No,AS_NEW
Habay,Wallonie,HOUSE,HOUSE,850000,residential_sale,5,,None,No,Yes,No,,Yes,,347,,,No,None
Turnhout,Flanders,HOUSE,HOUSE,269000,residential_sale,3,,None,No,Yes,No,,Yes,,118,,,No,None
Aalter,Flanders,APARTMENT,APARTMENT,249000,residential_sale,2,,None,No,No,No,,No,,88,,,No,None
Nijlen,Flanders,HOUSE,HOUSE,369000,residential_sale,3,,None,No,No,No,,No,,180,,,No,None
Courcelles,Wallonie,HOUSE,HOUSE,99000,residential_sale,3,,None,No,No,Yes,,Yes,150,123,,,No,None
Alsemberg,Flanders,HOUSE,HOUSE,849000,residential_sale,5,,None,No,Yes,No,,No,,374,,,No,None
HOEVENEN,Flanders,APARTMENT,APARTMENT,228000,residential_sale,2,32,No,No,Yes,Yes,12,No,,89,,2,No,AS_NEW
Antwerp,Flanders,APARTMENT,APARTMENT,210000,residential_sale,2,,None,No,Yes,Yes,7,No,,100,,,No,None
Leglise,Wallonie,HOUSE,HOUSE,379000,residential_sale,4,15,No,No,No,Yes,70,No,,,808,4,No,AS_NEW
Nazareth,Flanders,APARTMENT,APARTMENT,249000,residential_sale,2,,None,No,No,Yes,,Yes,,95,,,No,None
De Panne,Flanders,APARTMENT,APARTMENT,369000,residential_sale,3,,None,Yes,No,Yes,,No,,,,,No,None
