locality,postal_code,region,construction_year,energy_class,property_type,subtype_property,price,type_of_sale,number_of_rooms,living_area,kitchen_fully_equiped,is_furnished,has_open_fire,has_terrace,terrace_area,has_garden,garden_surface,habitable_surface,plot_land_surface,number_of_facades,has_swimming_pool,building_state
Noirefontaine,6831,Wallonie,,None,HOUSE,HOUSE,615000,residential_sale,7,,None,0,1,1,,1,,400,,,0,None
Braine-l'Alleud,1420,Wallonie,,None,HOUSE,HOUSE,390000,residential_sale,3,,None,0,1,1,,0,,171,,,0,None
Liedekerke,1770,Flanders,,None,APARTMENT,APARTMENT,445000,residential_sale,2,,None,0,1,1,31,0,,100,,,0,None
Liedekerke,1770,Flanders,,None,APARTMENT,APARTMENT,314000,residential_sale,2,,None,0,1,1,10,0,,96,,,0,None
Liedekerke,1770,Flanders,,None,APARTMENT,APARTMENT,302000,residential_sale,2,,None,0,1,1,10,0,,93,,,0,None
Liedekerke,1770,Flanders,,None,APARTMENT,APARTMENT,294000,residential_sale,2,,None,0,1,1,10,0,,93,,,0,None
Geel,2440,Flanders,,None,HOUSE,HOUSE,199000,residential_sale,3,,None,0,1,0,,1,,165,,,0,None
Olmen,2491,Flanders,,None,HOUSE,HOUSE,215000,residential_sale,4,,None,0,1,0,,1,,140,,,0,None
Nijlen,2560,Flanders,,None,HOUSE,HOUSE,329000,residential_sale,3,,None,0,0,1,,0,,226,,,0,None
Edegem,2650,Flanders,1969,B,HOUSE,HOUSE,595000,residential_sale,6,80,1,0,0,1,24,1,150,238,412,3,0,
Brecht,2960,Flanders,2022,A,HOUSE,HOUSE,549000,residential_sale,3,33,1,0,0,1,,0,,200,150,2,0,AS_NEW
Geel,2440,Flanders,,None,HOUSE,HOUSE,250000,residential_sale,4,,None,0,1,0,,1,,195,,,0,None
Boom,2850,Flanders,,None,HOUSE,HOUSE,279000,residential_sale,2,,None,0,1,1,,0,,,,,0,None
Tournai,7500,Wallonie,,None,APARTMENT,APARTMENT,145000,residential_sale,2,,None,0,0,1,8,0,,145,,,0,None
Charleroi Montignies-sur-Sambre,6061,Wallonie,,None,HOUSE,HOUSE,265000,residential_sale,5,,None,0,0,1,25,1,90,260,,,0,None
Hastière Blaimont,5542,Wallonie,,None,HOUSE,HOUSE,168000,residential_sale,2,,None,0,0,1,,0,,67,,,0,None
Keerbergen,3140,Flanders,1964,C,HOUSE,HOUSE,780000,residential_sale,5,30,1,0,0,1,35,0,,383,1722,4,0,GOOD
Aalst,9300,Flanders,,C,HOUSE,HOUSE,285000,residential_sale,3,24,1,0,0,1,22,0,,165,120,2,0,JUST_RENOVATED
Aarschot,3200,Flanders,,None,HOUSE,HOUSE,265000,residential_sale,3,,None,0,0,1,,0,,191,,,0,None
Aalst Erembodegem,9320,Flanders,,C,HOUSE,HOUSE,285000,residential_sale,3,24,1,0,0,1,22,0,,165,120,2,0,JUST_RENOVATED
Charleroi Montignies-sur-Sambre,6061,Wallonie,,None,HOUSE,APARTMENT_BLOCK,265000,residential_sale,5,,None,0,0,1,25,1,90,260,,,0,None
